stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC5824,13645,28.484604039892258,77.13063251638157,RRC Station MB Road,13645
DC5822,13646,28.48793096882528,77.13546968210227,Air Station Ghitorni,13646
DC5820,13647,28.489226418225265,77.13806479673137,Ghitorni School,13647
DC5819,13648,28.49373924886892,77.14854622900003,Ghitorni Metro Station,13648
DC5816,13649,28.49619491181856,77.15400469584019,NBCC Ghitorni,13649
DC5815,13650,28.499174841222928,77.16093572359647,Sultan Pur Metro Station,13650
DC5813,13651,28.50152494123233,77.16619769087669,New Mangla Puri,13651
DC5543,13652,28.5067971,77.1754624,Chhatarpur Metro Station,13652
U01823,13653,28.5086,77.17719,Andheria Bagh More / Chhatarpur Metro Station,13653
DC5544,13654,28.5181981,77.1890998,Delhi Jal Board (MG Road),13654
DC4509,13655,28.52435,77.189983,Lado Sarai Crossing,13655
DC3559,13656,28.61325,76.996217,Power House NajafGarh,13656
DC3560,13657,28.61375,76.99985,Sai Baba Mandir (Nazafgarh),13657
DC3565,13658,28.618,77.012067,Arjun Park,13658
DC3539,13659,28.6203564,77.0449947,Nawada Gaon,13659
DC3540,13660,28.620141600664425,77.0404835810889,Mohan Garden,13660
U03178,13661,28.703406,77.26393,Bhajanpura,13661
DC4000,13662,28.611788,77.243762,Pragati Maidan Terminal / Purana Qila,13662
U03243,13663,28.6735,77.27,Seelampur,13663
U02765,13664,28.571983000000003,77.22766700000003,Defence Colony (Homyopathic College),13664
DC3888,13665,28.650948,77.246145,Shanti Van (Geeta Colony Bridge),13665
U99970,13666,28.6615,77.2389,Yamuna Bazar/ Hanuman Mandir,13666
U02651,13667,28.643394,77.225784,Kamla Market Ajmeri Gate,13667
DC0026,13668,28.679033,77.166517,JJ Colony Wazir Pur,13668
DC4109,13669,28.569756,77.166003,Sec-8 RK Puram,13669
DC5593,13670,28.5567118,77.0938804,Air Traffic Control Office,13670
DC5594,13671,28.5515241,77.1101224,AMPC (Automated Mail Processing Centre),13671
U00786,13672,28.589363,77.086354,Manglapuri / Palam Village,13672
U01822,13673,28.7096,77.1758,Azadpur,13673
U01191A,13674,28.6548,77.1254,Rajdhani College / Raja Garden,13674
DC5567,13675,28.6690583,77.1033902,A3 Block Paschim Vihar,13675
U99942,13676,28.605354,77.147411,Garrision Eng.,13676
U00550,13677,28.682315,77.059529,Nangloi JJ Colony Lokesh Cinema,13677
