Entity ID,Trip Update,Trip ID,Route ID,Start Time,Start Date,Vehicle ID,Vehicle Label,Latitude,Longitude,Speed,Timestamp,Alert
DL1PC9445,,5184_16_42,5184,17:22:58,20240424,DL1PC9445,DL1PC9445,28.657115936279300,77.18494415283200,0.0,1713959862,
DL1PC3541,,5042_16_00,5042,16:11:47,20240424,DL1PC3541,DL1PC3541,28.664655685424800,77.23106384277340,0.0,1713959862,
DL1PC7256,,5422_17_21,5422,17:21:33,20240424,DL1PC7256,DL1PC7256,28.61260414123540,77.11029815673830,0.0,1713959862,
DL1PC9599,,5355_16_12,5355,16:12:19,20240424,DL1PC9599,DL1PC9599,28.62137222290040,77.20623016357420,0.0,1713959862,
DL1PC3181,,5473_16_05,5473,16:12:18,20240424,DL1PC3181,DL1PC3181,28.70247459411620,77.26974487304690,0.0,1713959862,
DL1PC7103,,5254_15_20,5254,16:06:11,20240424,DL1PC7103,DL1PC7103,28.615100860595700,77.2333984375,0.0,1713959862,
DL1PC8997,,5547_17_00,5547,17:11:51,20240424,DL1PC8997,DL1PC8997,28.65142822265630,77.19530487060550,0.0,1713959862,
DL1PC3233,,5596_15_35,5596,16:26:34,20240424,DL1PC3233,DL1PC3233,28.6521053314209,77.19393920898440,0.0,1713959862,
DL1PC8621,,5720_16_41,5720,16:41:22,20240424,DL1PC8621,DL1PC8621,28.570907592773400,77.16288757324220,0.0,1713959862,
DL1PC8285,,5999_14_18,5999,16:32:43,20240424,DL1PC8285,DL1PC8285,28.722854614257800,77.10458374023440,0.0,1713959862,
DL1PC9665,,5814_14_30,5814,15:31:05,20240424,DL1PC9665,DL1PC9665,28.681072235107400,77.09481048583980,0.0,1713959862,
DL1PC8310,,5354_15_45,5354,16:26:32,20240424,DL1PC8310,DL1PC8310,28.623395919799800,77.20661163330080,0.0,1713959862,
DL1PC8093,,5422_16_00,5422,16:25:39,20240424,DL1PC8093,DL1PC8093,28.602392196655300,77.18119049072270,0.0,1713959862,
DL1PC7524,,5821_16_13,5821,17:02:07,20240424,DL1PC7524,DL1PC7524,28.659799575805700,77.14495849609380,0.0,1713959862,
DL1PC3902,,5010_15_45,5010,16:33:47,20240424,DL1PC3902,DL1PC3902,28.512235641479500,77.24495697021480,0.0,1713959862,
DL1PC8980,,10352_16_15,10352,17:15:55,20240424,DL1PC8980,DL1PC8980,28.69209861755370,77.3110122680664,0.0,1713959862,
DL1PC8479,,5836_15_24,5836,16:40:48,20240424,DL1PC8479,DL1PC8479,28.67743682861330,77.11144256591800,0.0,1713959862,
DL1PC9877,,5119_16_40,5119,16:40:49,20240424,DL1PC9877,DL1PC9877,28.703737258911100,77.26161193847660,0.0,1713959862,
DL1PC9256,,5229_15_40,5229,15:43:21,20240424,DL1PC9256,DL1PC9256,28.63922882080080,77.31810760498050,0.0,1713959862,
DL1PC7078,,5201_17_21,5201,17:21:33,20240424,DL1PC7078,DL1PC7078,28.521799087524400,77.1827392578125,0.0,1713959862,
DL1PC7230,,5101_17_0,5101,17:00:42,20240424,DL1PC7230,DL1PC7230,28.66456413269040,77.20663452148440,0.0,1713959862,
DL1PC9843,,5508_15_20,5508,16:19:31,20240424,DL1PC9843,DL1PC9843,28.630966186523400,77.25222778320310,0.0,1713959862,
DL1PC7384,,5273_15_50,5273,16:53:29,20240424,DL1PC7384,DL1PC7384,28.668825149536100,77.22943115234380,0.0,1713959862,
DL1PC7990,,5013_17_22,5013,17:22:57,20240424,DL1PC7990,DL1PC7990,28.65956687927250,77.31871795654300,0.0,1713959862,
DL1PC7809,,5772_15_32,5772,16:32:42,20240424,DL1PC7809,DL1PC7809,28.63322639465330,77.21448516845700,0.0,1713959862,
DL1PC8874,,5823_15_50,5823,16:25:40,20240424,DL1PC8874,DL1PC8874,28.658130645752000,77.10870361328130,0.0,1713959861,
DL1PC3203,,5166_16_12,5166,16:26:34,20240424,DL1PC3203,DL1PC3203,28.593406677246100,77.24030303955080,0.0,1713959861,
DL1PC7132,,5697_16_40,5697,16:41:21,20240424,DL1PC7132,DL1PC7132,28.558738708496100,77.2197036743164,0.0,1713959861,
DL1PC8549,,5543_15_35,5543,17:15:54,20240424,DL1PC8549,DL1PC8549,28.805612564086900,77.11009979248050,0.0,1713959861,
DL1PC9530,,5081_16_00,5081,17:14:19,20240424,DL1PC9530,DL1PC9530,28.62651252746580,77.21324920654300,0.0,1713959861,
DL1PC9251,,5686_16_38,5686,17:14:18,20240424,DL1PC9251,DL1PC9251,28.624191284179700,77.30693054199220,0.0,1713959861,
DL1PC9244,,5956_16_39,5956,16:39:13,20240424,DL1PC9244,DL1PC9244,28.702604293823200,77.27428436279300,0.0,1713959861,
DL51GD3757,,5580_16_34,5580,16:34:08,20240424,DL51GD3757,DL51GD3757,28.694351196289100,77.15057373046880,0.0,1713959861,
DL1PC9899,,5010_15_35,5010,16:12:19,20240424,DL1PC9899,DL1PC9899,28.561954498291000,77.33753967285160,0.0,1713959861,
DL1PC7798,,5181_15_10,5181,16:47:51,20240424,DL1PC7798,DL1PC7798,28.57866668701170,77.17606353759770,0.0,1713959861,
DL1PC7124,,5273_16_30,5273,17:21:33,20240424,DL1PC7124,DL1PC7124,28.60584259033200,77.07333374023440,0.0,1713959861,
DL1PC9276,,5696_14_35,5696,16:25:39,20240424,DL1PC9276,DL1PC9276,28.535951614379900,77.1120834350586,0.0,1713959861,
DL1PC3091,,5609_16_30,5609,16:47:51,20240424,DL1PC3091,DL1PC3091,28.601125717163100,77.2901382446289,0.0,1713959861,
DL1PC7050,,5181_15_26,5181,17:14:18,20240424,DL1PC7050,DL1PC7050,28.628459930419900,77.13355255126950,0.0,1713959861,
DL1PC9634,,5721_15_40,5721,16:39:14,20240424,DL1PC9634,DL1PC9634,28.554811477661100,77.16453552246090,0.0,1713959861,
DL1PC9479,,5129_16_55,5129,17:22:58,20240424,DL1PC9479,DL1PC9479,28.649456024169900,77.19854736328130,0.0,1713959861,
DL1PC9226,,5519_16_12,5519,16:12:19,20240424,DL1PC9226,DL1PC9226,28.642980575561500,77.24705505371090,0.0,1713959861,
DL1PC7079,,5710_15_50,5710,17:00:42,20240424,DL1PC7079,DL1PC7079,28.557552337646500,77.16899871826170,0.0,1713959861,
DL1PC9897,,10225_15_51,10225,17:02:08,20240424,DL1PC9897,DL1PC9897,28.66004180908200,77.18863677978520,0.0,1713959861,
DL1PC8762,,5034_16_53,5034,16:53:29,20240424,DL1PC8762,DL1PC8762,28.783170700073200,77.04273223876950,0.0,1713959861,
DL1PC9880,,5814_15_42,5814,16:54:33,20240424,DL1PC9880,DL1PC9880,28.625343322753900,77.06609344482420,0.0,1713959861,
DL1PC8770,,10344_16_55,10344,17:00:42,20240424,DL1PC8770,DL1PC8770,28.732789993286100,77.17205810546880,0.0,1713959861,
DL1PC9107,,5418_16_20,5418,17:00:43,20240424,DL1PC9107,DL1PC9107,28.639400482177700,77.31490325927730,0.0,1713959861,
DL1PC3207,,5010_16_25,5010,17:15:54,20240424,DL1PC3207,DL1PC3207,28.521785736084000,77.18318176269530,0.0,1713959861,
DL1PC7716,,5752_14_00,5752,16:32:42,20240424,DL1PC7716,DL1PC7716,28.625507354736300,77.23849487304690,0.0,1713959861,
DL1PC8097,,5343_15_30,5343,16:32:42,20240424,DL1PC8097,DL1PC8097,28.699678421020500,77.12354278564450,0.0,1713959861,
DL1PC7582,,5275_15_25,5275,17:07:15,20240424,DL1PC7582,DL1PC7582,28.604835510253900,77.12822723388670,0.0,1713959861,
DL1PC9661,,5275_15_35,5275,17:14:18,20240424,DL1PC9661,DL1PC9661,28.625930786132800,77.06572723388670,0.0,1713959861,
DL1PC9744,,5409_17_15,5409,17:15:54,20240424,DL1PC9744,DL1PC9744,28.696762084960900,77.11042022705080,0.0,1713959861,
DL1PC8866,,5002_17_14,5002,17:14:18,20240424,DL1PC8866,DL1PC8866,28.671571731567400,77.20063018798830,0.0,1713959861,
DL1PC9272,,5687_17_21,5687,17:21:34,20240424,DL1PC9272,DL1PC9272,28.55694580078130,77.09254455566410,0.0,1713959861,
DL1PC7580,,5752_14_10,5752,16:32:42,20240424,DL1PC7580,DL1PC7580,28.6295108795166,77.27704620361330,0.0,1713959861,
DL1PC8791,,5468_15_45,5468,17:07:15,20240424,DL1PC8791,DL1PC8791,28.73180389404300,77.15784454345700,0.0,1713959861,
DL1PC8716,,5594_16_21,5594,17:02:08,20240424,DL1PC8716,DL1PC8716,28.628103256225600,77.26883697509770,0.0,1713959861,
DL1PC8834,,5176_14_20,5176,16:18:27,20240424,DL1PC8834,DL1PC8834,28.569881439209000,77.18846130371090,0.0,1713959861,
DL1PC8543,,5353_13_00,5353,13:17:14,20240424,DL1PC8543,DL1PC8543,28.69322395324710,77.07778930664060,0.0,1713959861,
DL1PC8836,,5306_16_53,5306,16:53:29,20240424,DL1PC8836,DL1PC8836,28.60450553894040,77.1287612915039,0.0,1713959861,
DL1PC3379,,5267_14_20,5267,15:22:28,20240424,DL1PC3379,DL1PC3379,28.598684310913100,77.06458282470700,0.0,1713959861,
DL1PC7975,,5839_15_50,5839,16:54:33,20240424,DL1PC7975,DL1PC7975,28.67167854309080,77.23574829101560,0.0,1713959861,
DL1PC7283,,5163_15_45,5163,17:07:15,20240424,DL1PC7283,DL1PC7283,28.6101131439209,77.2215576171875,0.0,1713959861,
DL1PC7525,,5821_13_00,5821,13:52:20,20240424,DL1PC7525,DL1PC7525,28.64378547668460,77.17144775390630,0.0,1713959861,
DL1PC7841,,5839_14_08,5839,15:09:07,20240424,DL1PC7841,DL1PC7841,28.645280838012700,77.31491088867190,0.0,1713959861,
DL1PC9225,,5044_14_55,5044,15:51:25,20240424,DL1PC9225,DL1PC9225,28.78255271911620,77.14106750488280,0.0,1713959861,
DL1PC8178,,5733_16_39,5733,16:39:13,20240424,DL1PC8178,DL1PC8178,28.588788986206100,77.25851440429690,0.0,1713959861,
DL1PC9386,,5154_15_15,5154,17:02:41,20240424,DL1PC9386,DL1PC9386,28.57548713684080,77.26277160644530,0.0,1713959861,
DL1PC7457,,5015_16_30,5015,16:33:46,20240424,DL1PC7457,DL1PC7457,28.643985748291000,77.29853057861330,0.0,1713959861,
DL1PC7723,,5275_14_35,5275,16:25:39,20240424,DL1PC7723,DL1PC7723,28.60221290588380,77.13501739501950,0.0,1713959861,
DL1PC9381,,5956_15_15,5956,16:32:42,20240424,DL1PC9381,DL1PC9381,28.70136833190920,77.28363800048830,0.0,1713959861,
DL1PC8280,,5283_15_50,5283,17:14:18,20240424,DL1PC8280,DL1PC8280,28.621395111084000,77.20634460449220,0.0,1713959861,
DL1PC8158,,5163_15_50,5163,17:15:54,20240424,DL1PC8158,DL1PC8158,28.64460563659670,77.10115051269530,0.0,1713959861,
DL1PC8707,,10233_16_31,10233,16:53:30,20240424,DL1PC8707,DL1PC8707,28.618663787841800,77.20619201660160,0.0,1713959861,
DL1PC8633,,5002_16_35,5002,16:47:52,20240424,DL1PC8633,DL1PC8633,28.660316467285200,77.2256088256836,0.0,1713959861,
DL1PC9522,,5058_16_25,5058,16:32:42,20240424,DL1PC9522,DL1PC9522,28.798730850219700,77.13922882080080,0.0,1713959861,
DL1PC8800,,5275_15_15,5275,16:46:58,20240424,DL1PC8800,DL1PC8800,28.572120666503900,77.1805419921875,0.0,1713959861,
DL1PC3393,,5127_16_19,5127,16:26:34,20240424,DL1PC3393,DL1PC3393,28.612775802612300,77.30711364746090,0.0,1713959861,
DL1PC9949,,10257_14_26,10257,15:37:12,20240424,DL1PC9949,DL1PC9949,28.69500732421880,77.22296905517580,0.0,1713959861,
DL1PC8159,,5822_17_23,5822,17:23:52,20240424,DL1PC8159,DL1PC8159,28.667768478393600,77.11286163330080,0.0,1713959861,
DL1PC9477,,5129_16_07,5129,16:33:46,20240424,DL1PC9477,DL1PC9477,28.62134552001950,77.28496551513670,0.0,1713959861,
DL1PC8420,,5876_15_40,5876,16:26:33,20240424,DL1PC8420,DL1PC8420,28.67172622680660,77.22621154785160,0.0,1713959861,
DL1PC9738,,5925_16_55,5925,16:55:38,20240424,DL1PC9738,DL1PC9738,28.512453079223600,77.09234619140630,0.0,1713959861,
DL1PC8576,,5746_15_45,5746,16:34:08,20240424,DL1PC8576,DL1PC8576,28.56154441833500,77.2074203491211,0.0,1713959861,
DL1PC8627,,5319_17_00,5319,17:02:40,20240424,DL1PC8627,DL1PC8627,28.61362075805660,76.99958038330080,0.0,1713959861,
DL1PC7315,,5671_15_25,5671,16:48:24,20240424,DL1PC7315,DL1PC7315,28.510772705078100,77.2820053100586,0.0,1713959861,
DL1PC3192,,10236_15_51,10236,16:12:18,20240424,DL1PC3192,DL1PC3192,28.6611270904541,77.18397521972660,0.0,1713959861,
DL1PC9746,,5082_17_21,5082,17:21:33,20240424,DL1PC9746,DL1PC9746,28.667932510376000,77.22923278808590,0.0,1713959861,
DL1PC9600,,5385_15_58,5385,15:44:14,20240424,DL1PC9600,DL1PC9600,28.646320343017600,77.16731262207030,0.0,1713959861,
DL1PC7520,,5821_16_05,5821,16:54:33,20240424,DL1PC7520,DL1PC7520,28.666889190673800,77.1199722290039,0.0,1713959861,
DL1PC7953,,5065_17_22,5065,17:22:58,20240424,DL1PC7953,DL1PC7953,28.617618560791000,77.20633697509770,0.0,1713959861,
DL1PC7142,,5219_16_56,5219,17:00:43,20240424,DL1PC7142,DL1PC7142,28.645105361938500,77.31613159179690,0.0,1713959861,
DL1PC8499,,10189_15_06,10189,16:47:52,20240424,DL1PC8499,DL1PC8499,28.645626068115200,77.21153259277340,0.0,1713959861,
DL1PC3073,,5091_16_54,5091,17:22:58,20240424,DL1PC3073,DL1PC3073,28.659408569335900,77.2365493774414,0.0,1713959861,
DL1PC9896,,10371_14_10,10371,15:30:02,20240424,DL1PC9896,DL1PC9896,28.668441772460900,77.22942352294920,0.0,1713959861,
DL1PC9839,,5007_15_26,5007,17:22:58,20240424,DL1PC9839,DL1PC9839,28.703466415405300,77.26313781738280,0.0,1713959861,
DL1PC9419,,5230_15_52,5230,17:23:31,20240424,DL1PC9419,DL1PC9419,28.574419021606400,77.18907928466800,0.0,1713959861,
DL1PC8426,,5048_16_20,5048,16:33:46,20240424,DL1PC8426,DL1PC8426,28.705154418945300,77.18740844726560,0.0,1713959861,
DL1PC7268,,10322_17_05,10322,17:14:18,20240424,DL1PC7268,DL1PC7268,28.64598846435550,77.31539916992190,0.0,1713959861,
DL1PC8961,,5721_10_28,5721,11:26:13,20240424,DL1PC8961,DL1PC8961,28.569656372070300,77.20555114746090,0.0,1713959861,
DL1PC9807,,5565_15_51,5565,16:47:52,20240424,DL1PC9807,DL1PC9807,28.666940689086900,77.22940826416020,0.0,1713959861,
DL1PC8560,,5010_15_15,5010,15:59:09,20240424,DL1PC8560,DL1PC8560,28.50200843811040,77.29002380371090,0.0,1713959861,
DL1PC7042,,5006_17_15,5006,17:21:33,20240424,DL1PC7042,DL1PC7042,28.66868782043460,77.2266845703125,0.0,1713959861,
DL1PC7549,,5639_16_00,5639,16:06:11,20240424,DL1PC7549,DL1PC7549,28.510652542114300,77.28244018554690,0.0,1713959861,
DL1PC7051,,5210_17_21,5210,17:21:33,20240424,DL1PC7051,DL1PC7051,28.645923614502000,77.1680679321289,0.0,1713959861,
DL1PC8969,,5721_16_08,5721,17:09:23,20240424,DL1PC8969,DL1PC8969,28.5465087890625,77.19501495361330,0.0,1713959861,
DL1PC8620,,10881_17_8,10881,17:08:50,20240424,DL1PC8620,DL1PC8620,28.68638038635250,77.09571838378910,0.0,1713959861,
DL1PC7036,,5477_16_10,5477,17:07:15,20240424,DL1PC7036,DL1PC7036,28.5999698638916,77.34095764160160,0.0,1713959861,
DL1PC9602,,5133_14_30,5133,16:19:31,20240424,DL1PC9602,DL1PC9602,28.60027313232420,77.34139251708980,0.0,1713959861,
DL1PC8399,,5123_16_15,5123,16:40:48,20240424,DL1PC8399,DL1PC8399,28.652111053466800,77.2664794921875,0.0,1713959861,
DL1PC8490,,5995_17_2,5995,17:02:07,20240424,DL1PC8490,DL1PC8490,28.76189613342290,77.18696594238280,0.0,1713959861,
DL1PC8947,,5254_15_50,5254,16:34:08,20240424,DL1PC8947,DL1PC8947,28.63355255126950,77.2819595336914,0.0,1713959861,
DL1PC7910,,5254_16_24,5254,17:09:22,20240424,DL1PC7910,DL1PC7910,28.674116134643600,77.28700256347660,0.0,1713959861,
DL1PC8248,,5206_16_00,5206,16:34:08,20240424,DL1PC8248,DL1PC8248,28.456384658813500,77.1839370727539,0.0,1713959861,
DL1PC8053,,5129_14_00,5129,14:07:05,20240424,DL1PC8053,DL1PC8053,28.646968841552700,77.20478820800780,0.0,1713959861,
DL1PC3356,,5836_14_50,5836,15:51:25,20240424,DL1PC3356,DL1PC3356,28.6621036529541,77.2049560546875,0.0,1713959861,
DL1PC8898,,5123_17_08,5123,17:26:51,20240424,DL1PC8898,DL1PC8898,28.698270797729500,77.3054428100586,0.0,1713959861,
DL1PC9159,,5204_16_15,5204,16:19:31,20240424,DL1PC9159,DL1PC9159,28.504573822021500,77.27880859375,0.0,1713959861,
DL51GD4210,,5068_10_55,5068,16:06:11,20240424,DL51GD4210,DL51GD4210,28.705039978027300,77.24656677246090,0.0,1713959861,
DL1PC7737,,5652_16_50,5652,16:55:38,20240424,DL1PC7737,DL1PC7737,28.493610382080100,77.30339050292970,0.0,1713959861,
DL1PC9935,,5476_16_35,5476,17:22:58,20240424,DL1PC9935,DL1PC9935,28.543004989624000,77.3030776977539,0.0,1713959861,
DL1PC9645,,5119_17_20,5119,17:07:15,20240424,DL1PC9645,DL1PC9645,28.703960418701200,77.26666259765630,0.0,1713959861,
DL1PC7229,,10320_15_45,10320,17:07:15,20240424,DL1PC7229,DL1PC7229,28.6253662109375,77.10124969482420,0.0,1713959861,
DL1PC9483,,5877_16_47,5877,16:47:51,20240424,DL1PC9483,DL1PC9483,28.565523147583000,77.24786376953130,0.0,1713959861,
DL1PC9417,,5672_16_15,5672,16:55:38,20240424,DL1PC9417,DL1PC9417,28.574216842651400,77.1891860961914,0.0,1713959861,
DL1PC7018,,5634_14_57,5634,14:57:32,20240424,DL1PC7018,DL1PC7018,28.514535903930700,77.22850799560550,0.0,1713959861,
DL1PC9387,,5010_12_8,5010,12:08:03,20240424,DL1PC9387,DL1PC9387,28.59640121459960,77.36192321777340,0.0,1713959861,
DL1PC8610,,5851_16_14,5851,17:15:54,20240424,DL1PC8610,DL1PC8610,28.683446884155300,77.13433837890630,0.0,1713959861,
DL1PC8048,,5530_17_21,5530,17:23:30,20240424,DL1PC8048,DL1PC8048,28.653942108154300,77.15614318847660,0.0,1713959861,
DL1PC9972,,5989_16_48,5989,16:40:49,20240424,DL1PC9972,DL1PC9972,28.626956939697300,77.1006088256836,0.0,1713959861,
DL1PC3196,,5393_17_25,5393,17:08:50,20240424,DL1PC3196,DL1PC3196,28.586349487304700,77.25153350830080,0.0,1713959861,
DL1PC7452,,5105_16_07,5105,16:19:32,20240424,DL1PC7452,DL1PC7452,28.701854705810500,77.25575256347660,0.0,1713959861,
DL51GD3995,,5854_15_16,5854,16:34:09,20240424,DL51GD3995,DL51GD3995,28.66459846496580,77.17556762695310,0.0,1713959861,
DL1PC7092,,5243_15_30,5243,15:28:58,20240424,DL1PC7092,DL1PC7092,28.50968360900880,77.1722640991211,0.0,1713959861,
DL1PC7010,,5188_16_00,5188,17:21:33,20240424,DL1PC7010,DL1PC7010,28.513620376586900,77.23629760742190,0.0,1713959861,
DL1PC8069,,5270_17_50,5270,17:23:30,20240424,DL1PC8069,DL1PC8069,28.492652893066400,77.30352783203130,0.0,1713959861,
DL1PC9498,,5144_17_05,5144,17:15:54,20240424,DL1PC9498,DL1PC9498,28.678775787353500,77.22431182861330,0.0,1713959861,
DL1PC9128,,5344_16_33,5344,16:33:47,20240424,DL1PC9128,DL1PC9128,28.71970558166500,77.1258316040039,0.0,1713959861,
DL1PC9742,,10311_17_15,10311,17:22:58,20240424,DL1PC9742,DL1PC9742,28.696863174438500,77.09600067138670,0.0,1713959860,
DL1PC3227,,5819_15_23,5819,16:40:49,20240424,DL1PC3227,DL1PC3227,28.70389175415040,77.13079071044920,0.0,1713959860,
DL1PC8056,,5016_16_02,5016,16:48:24,20240424,DL1PC8056,DL1PC8056,28.702083587646500,77.16519165039060,0.0,1713959860,
DL1PC8533,,5876_17_8,5876,17:08:50,20240424,DL1PC8533,DL1PC8533,28.734987258911100,77.1562271118164,0.0,1713959860,
DL1PC7249,,5630_16_24,5630,16:53:29,20240424,DL1PC7249,DL1PC7249,28.5784912109375,77.24617004394530,0.0,1713959860,
DL1PC7223,,5291_15_15,5291,16:53:29,20240424,DL1PC7223,DL1PC7223,28.61382484436040,77.08541870117190,0.0,1713959860,
DL1PC8796,,5895_13_10,5895,14:54:00,20240424,DL1PC8796,DL1PC8796,28.6466121673584,77.31487274169920,0.0,1713959860,
DL1PC8413,,5974_16_55,5974,17:02:07,20240424,DL1PC8413,DL1PC8413,28.674652099609400,77.1689682006836,0.0,1713959860,
DL1PC3183,,5621_15_30,5621,15:58:37,20240424,DL1PC3183,DL1PC3183,28.59076499938970,77.16826629638670,0.0,1713959860,
DL1PC9914,,5142_16_26,5142,16:26:33,20240424,DL1PC9914,DL1PC9914,28.62827491760250,77.27029418945310,0.0,1713959860,
DL1PC8615,,5924_16_33,5924,16:33:46,20240424,DL1PC8615,DL1PC8615,28.55173110961910,77.13059997558590,0.0,1713959860,
DL1PC8179,,5739_15_50,5739,17:14:18,20240424,DL1PC8179,DL1PC8179,28.632160186767600,77.2525634765625,0.0,1713959860,
DL1PC9487,,5058_17_10,5058,17:15:54,20240424,DL1PC9487,DL1PC9487,28.81624984741210,77.13458251953130,0.0,1713959860,
DL1PC9863,,10341_16_23,10341,16:40:19,20240420,DL1PC9863,DL1PC9863,28.67060661315920,77.1602783203125,0.0,1713959860,
DL1PC7518,,5218_16_35,5218,16:40:49,20240424,DL1PC7518,DL1PC7518,28.548540115356400,77.2553482055664,0.0,1713959860,
DL1PC9028,,5503_17_9,5503,17:09:22,20240424,DL1PC9028,DL1PC9028,28.72358512878420,77.06182861328130,0.0,1713959860,
DL1PC9252,,5696_13_35,5696,15:36:09,20240424,DL1PC9252,DL1PC9252,28.649005889892600,77.31839752197270,0.0,1713959860,
